26 12 power2.txt
g1_v0 g1_v1 g2 g3 g4 g5a g5b g6 g7 g8 g8Fruit g9 dumb g1_v0 g1_v1 g2 g3 g4 g5a g5b g6 g7 g8 g8Fruit g9 dumb 
11 8 3 23 6 10 4 13 22 15 0 14 21 2 19 20 17 7 16 9 25 12 24 5 18 1 
114 206 188 107 170 161 241 239 175 126 131 144 173 177 108 146 182 246 248 196 185 212 146 140 176 248 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
13 25 18 1 12 7 3 14 5 22 9 6 0 17 21 15 8 11 24 16 20 23 19 10 2 4 
197 190 147 125 160 192 168 196 230 145 153 197 167 244 107 231 204 210 199 112 163 130 180 133 137 204 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2 1 11 22 23 3 4 9 24 18 5 14 16 8 19 0 21 15 10 20 13 6 25 12 17 7 
128 167 212 74 170 139 182 156 222 224 217 92 199 172 156 200 166 100 104 158 230 205 94 188 154 198 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
22 21 20 2 7 14 8 6 9 10 25 4 12 17 13 24 19 5 1 0 16 15 23 18 11 3 
152 224 157 129 185 174 162 223 203 175 151 223 192 182 236 114 133 162 160 196 152 215 180 216 210 147 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 6 12 7 23 2 5 3 14 24 21 4 9 10 18 1 11 20 13 8 19 15 16 25 22 17 
164 168 255 197 152 199 226 120 224 246 176 215 145 177 208 132 210 197 148 241 217 120 160 244 87 202 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
8 7 16 24 2 9 22 18 12 1 21 15 10 11 25 0 4 23 13 14 20 6 3 17 19 5 
218 174 131 202 208 216 114 258 153 190 238 104 148 240 171 150 235 145 258 216 186 217 198 169 229 244 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 10 16 12 9 24 20 4 2 25 14 15 21 7 5 3 22 8 6 17 19 23 11 18 13 0 
187 249 237 252 102 193 57 152 247 247 252 220 87 202 204 186 267 179 228 142 161 232 209 105 167 146 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
12 11 9 4 23 24 18 17 8 15 10 21 25 16 1 20 0 13 3 14 7 19 2 6 5 22 
155 133 192 115 192 134 211 132 214 107 254 222 128 221 184 79 202 213 225 263 91 164 151 214 109 111 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
17 4 8 13 19 18 16 15 7 14 12 9 25 21 2 5 1 23 0 20 3 10 6 11 24 22 
184 197 253 176 139 157 178 193 216 144 109 188 183 140 210 177 173 156 220 194 113 65 239 69 240 158 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 18 25 5 4 0 21 24 9 16 20 19 2 8 11 13 22 23 10 12 6 14 1 17 15 7 
160 183 163 226 171 178 207 156 135 196 227 217 144 216 215 218 161 215 143 196 184 244 113 159 112 123 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
